Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 28,@,PHI,L4-10,36,30,4,7,1,0,1,4,6,0,9,0,0,0,0,1,1,1,0.233,0.361,0.367,0.728,5,15,R,A.Nola(67)
2,2,Mar 30,@,PHI,L6-8,40,36,6,10,2,1,2,6,4,0,9,0,0,0,0,1,1,0,0.258,0.355,0.470,0.825,7,17,R,N.Pivetta(35)
3,3,Mar 31,@,PHI,L1-5,36,29,1,4,0,0,0,0,6,0,8,1,0,0,0,0,1,2,0.221,0.339,0.368,0.708,8,14,R,J.Arrieta(62)
4,4,Apr 1,,CHC,W8-0,43,36,8,12,3,0,2,6,7,1,9,0,0,0,2,1,0,0,0.252,0.368,0.427,0.795,11,15,R,K.Hendricks(26)
5,5,Apr 3,,CHC,W6-4,39,30,6,8,1,0,2,6,8,0,8,0,0,1,0,1,1,0,0.255,0.376,0.441,0.817,9,16,L,J.Lester(56)
6,6,Apr 4,,CHC,W9-4,42,34,9,13,4,0,0,8,6,1,6,0,0,1,0,1,0,1,0.277,0.391,0.451,0.843,9,12,R,Y.Darvish(38)
7,7,Apr 5,,MIA,W4-0,34,31,4,7,0,0,2,4,2,0,8,1,0,0,0,0,0,0,0.270,0.379,0.447,0.826,6,11,R,P.Lopez(41)
8,8,Apr 6,,MIA,L2-4,43,34,2,6,2,0,0,2,8,2,7,1,0,0,2,1,0,0,0.258,0.375,0.419,0.794,14,17,R,S.Alcantara(41)
9,9,Apr 7,,MIA,W4-3,33,29,4,7,1,0,2,4,3,0,8,0,0,0,0,1,0,0,0.256,0.369,0.426,0.795,5,14,L,C.Smith(57)
10,10,Apr 8,@,COL,W8-6,42,34,8,9,0,1,1,7,6,1,8,1,0,1,0,1,0,0,0.257,0.370,0.424,0.795,7,13,L,K.Freeland(24)
11,11,Apr 9,@,COL,W7-1,38,37,7,12,3,0,2,7,0,0,5,0,1,0,0,0,0,0,0.264,0.366,0.439,0.805,4,14,R,G.Marquez(35)
12,12,Apr 11,,NYM,L3-6,39,36,3,9,2,1,2,3,3,0,14,0,0,0,0,0,1,0,0.263,0.361,0.447,0.808,9,15,L,S.Matz(63)
13,13,Apr 12,,NYM,L2-6,37,33,2,7,2,0,0,2,3,0,10,0,0,1,0,0,0,0,0.259,0.355,0.434,0.788,8,17,R,Z.Wheeler(57)
14,14,Apr 13,,NYM,W11-7,42,35,11,13,2,0,2,11,7,0,7,0,0,0,0,2,0,0,0.267,0.364,0.446,0.810,7,12,L,J.Vargas(28)
