{\rtf1\ansi\ansicpg1252\cocoartf2513
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fmodern\fcharset0 Courier;}
{\colortbl;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\cssrgb\c0\c0\c0;}
\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\partightenfactor0

\f0\fs24 \cf2 \expnd0\expndtw0\kerning0
\outl0\strokewidth0 \strokec2 Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)\
92,92,Jul 12,@,SDP,W5-3,35,32,5,8,1,0,3,5,3,0,9,0,0,0,0,3,0,0,.263,.337,.464,.801,3,13,R,D.Lamet(46)\
93,93,Jul 13,@,SDP,W7-5,46,40,7,11,1,0,2,7,5,0,10,0,0,1,0,0,1,0,.263,.337,.464,.801,9,16,L,J.Lucchesi(55)\
94,94,Jul 14,@,SDP,W4-1,38,35,4,7,0,0,1,4,2,0,8,1,0,0,2,1,2,0,.262,.336,.462,.798,7,15,R,C.Quantrill(68)\
95,95,Jul 15,@,MIL,W4-2,38,35,4,9,1,0,1,4,3,0,7,0,0,0,0,0,0,0,.262,.336,.461,.797,7,15,R,A.Houser(42)\
96,96,Jul 16,@,MIL,L1-13,34,32,1,5,0,0,1,1,2,0,9,0,0,0,0,0,2,0,.261,.335,.459,.794,6,15,R,B.Woodruff(65)\
97,97,Jul 17,@,MIL,L4-5,41,34,4,6,2,0,1,4,7,0,8,0,0,0,0,0,1,0,.261,.335,.458,.792,10,14,R,C.Anderson(67)\
98,98,Jul 18,,WSN,L4-13,38,36,4,10,2,1,1,4,2,0,14,0,0,0,0,0,1,0,.261,.335,.458,.792,7,17,R,S.Strasburg(45)\
99,99,Jul 19,,WSN,W4-3,40,34,4,12,4,0,0,4,6,1,8,0,0,0,0,0,1,2,.262,.336,.458,.794,12,16,L,P.Corbin(46)\
100,100,Jul 20,,WSN,L3-5,40,35,3,8,0,0,1,3,4,0,9,1,0,0,1,0,5,0,.261,.336,.456,.792,10,17,R,A.Sanchez(44)\
101,101,Jul 21,,WSN,W7-1,39,33,7,11,1,0,2,7,6,0,11,0,0,0,0,1,1,0,.262,.337,.457,.794,8,12,R,J.Ross(44)\
