"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Chris Archer","Pirates","3","9","0","23","23","119.2","10.75","4.14","1.88",".298","72.5%","36.3%","20.2%","5.19","5.02","4.36","0.7","6345"
"Dustin May","Dodgers","1","2","0","4","4","22.1","6.85","1.21","0.40",".299","63.6%","40.3%","5.0%","2.82","2.81","4.01","0.7","19716"
"Dylan Cease","White Sox","4","7","0","14","14","73.0","9.99","4.32","1.85",".326","68.1%","45.7%","21.4%","5.79","5.19","4.42","0.7","18525"
"Randy Dobnak","Twins","2","1","0","5","5","19.1","7.45","2.33","0.00",".245","71.4%","50.9%","0.0%","1.86","2.80","4.34","0.7","23798"
"Matt Shoemaker","Blue Jays","3","0","0","5","5","28.2","7.53","2.83","0.94",".183","87.2%","51.4%","11.1%","1.57","3.95","4.46","0.6","4776"
"Corey Kluber","Indians","2","3","0","7","7","35.2","9.59","3.79","1.01",".370","63.8%","40.0%","9.8%","5.80","4.06","4.88","0.6","2429"
"Jesse Chavez","Rangers","1","3","0","9","9","30.0","8.40","1.50","1.50",".284","45.2%","39.8%","14.7%","6.00","4.31","4.40","0.6","5448"
"Alex Young","Diamondbacks","7","5","0","15","15","77.0","8.06","3.16","1.64",".254","74.0%","47.1%","17.9%","3.86","4.95","4.61","0.5","18333"
"Luis Severino","Yankees","1","1","0","3","3","12.0","12.75","4.50","0.00",".250","84.6%","41.7%","0.0%","1.50","2.13","3.95","0.5","15890"
"Devin Smeltzer","Twins","2","2","0","6","6","30.2","6.46","2.35","1.17",".264","73.3%","35.5%","10.5%","4.11","4.36","5.12","0.5","19487"
"Matt Wisler","Mariners","0","0","0","8","8","10.0","9.00","0.90","0.00",".174","100.0%","13.0%","0.0%","0.00","1.51","4.30","0.5","12804"
"Tony Gonsolin","Dodgers","2","2","0","6","6","28.0","7.71","3.21","0.96",".218","73.6%","39.2%","7.9%","2.89","3.96","5.27","0.5","19388"
"Jefry Rodriguez","Indians","1","5","0","8","8","43.2","6.60","3.92","1.03",".299","68.4%","49.3%","11.9%","4.74","4.54","4.97","0.5","17018"
"Logan Webb","Giants","2","3","0","8","8","39.2","8.39","3.18","1.13",".333","65.4%","48.8%","17.9%","5.22","4.12","3.89","0.5","17995"
"Matt Moore","Tigers","0","0","0","2","2","10.0","8.10","0.90","0.00",".130","100.0%","59.1%","0.0%","0.00","1.71","3.11","0.5","1890"
